id,subject,language,grade,chapter,chapterName,number,pattern,question,problem,solution
math-uz-6-8-72-6,math,uz,6,8,,72,6,,,
math-uz-6-8-73-6,math,uz,6,8,,73,6,,,
math-uz-6-8-74-6,math,uz,6,8,,74,6,,,
math-uz-6-8-75-6,math,uz,6,8,,75,6,,,
math-uz-6-8-76-6,math,uz,6,8,,76,6,,,
math-uz-6-8-77-6,math,uz,6,8,,77,6,,,
math-uz-6-8-78-6,math,uz,6,8,,78,6,,,
math-uz-6-8-79-6,math,uz,6,8,,79,6,,,
math-uz-6-8-80-6,math,uz,6,8,,80,6,,,
math-uz-6-9-81-6,math,uz,6,9,,81,6,,,
math-uz-6-9-82-6,math,uz,6,9,,82,6,,,
math-uz-6-9-83-6,math,uz,6,9,,83,6,,,
math-uz-6-9-84-6,math,uz,6,9,,84,6,,,
math-uz-6-9-85-6,math,uz,6,9,,85,6,,,
math-uz-6-9-86-6,math,uz,6,9,,86,6,,,
math-uz-6-9-87-6,math,uz,6,9,,87,6,,,
math-uz-6-9-88-6,math,uz,6,9,,88,6,,,
math-uz-6-9-89-6,math,uz,6,9,,89,6,,,
math-uz-6-9-90-6,math,uz,6,9,,90,6,,,
math-uz-6-10-91-6,math,uz,6,10,,91,6,,,
math-uz-6-10-92-6,math,uz,6,10,,92,6,,,
math-uz-6-10-93-6,math,uz,6,10,,93,6,,,
math-uz-6-10-94-6,math,uz,6,10,,94,6,,,
math-uz-6-10-95-6,math,uz,6,10,,95,6,,,
math-uz-6-10-96-6,math,uz,6,10,,96,6,,,
math-uz-6-10-97-6,math,uz,6,10,,97,6,,,
math-uz-6-10-98-6,math,uz,6,10,,98,6,,,
math-uz-6-10-99-6,math,uz,6,10,,99,6,,,
math-uz-6-10-100-6,math,uz,6,10,,100,6,,,
