id,subject,language,grade,chapter,chapterName,number,pattern,question,problem,solution
math-uz-6-7-62-3,math,uz,6,7,,62,3,,,
math-uz-6-7-63-3,math,uz,6,7,,63,3,,,
math-uz-6-7-64-3,math,uz,6,7,,64,3,,,
math-uz-6-7-65-3,math,uz,6,7,,65,3,,,
math-uz-6-7-66-3,math,uz,6,7,,66,3,,,
math-uz-6-7-67-3,math,uz,6,7,,67,3,,,
math-uz-6-7-68-3,math,uz,6,7,,68,3,,,
math-uz-6-7-69-3,math,uz,6,7,,69,3,,,
math-uz-6-7-70-3,math,uz,6,7,,70,3,,,
math-uz-6-8-71-3,math,uz,6,8,,71,3,,,
math-uz-6-8-72-3,math,uz,6,8,,72,3,,,
math-uz-6-8-73-3,math,uz,6,8,,73,3,,,
math-uz-6-8-74-3,math,uz,6,8,,74,3,,,
math-uz-6-8-75-3,math,uz,6,8,,75,3,,,
math-uz-6-8-76-3,math,uz,6,8,,76,3,,,
math-uz-6-8-77-3,math,uz,6,8,,77,3,,,
math-uz-6-8-78-3,math,uz,6,8,,78,3,,,
math-uz-6-8-79-3,math,uz,6,8,,79,3,,,
math-uz-6-8-80-3,math,uz,6,8,,80,3,,,
math-uz-6-9-81-3,math,uz,6,9,,81,3,,,
math-uz-6-9-82-3,math,uz,6,9,,82,3,,,
math-uz-6-9-83-3,math,uz,6,9,,83,3,,,
math-uz-6-9-84-3,math,uz,6,9,,84,3,,,
math-uz-6-9-85-3,math,uz,6,9,,85,3,,,
math-uz-6-9-86-3,math,uz,6,9,,86,3,,,
math-uz-6-9-87-3,math,uz,6,9,,87,3,,,
math-uz-6-9-88-3,math,uz,6,9,,88,3,,,
math-uz-6-9-89-3,math,uz,6,9,,89,3,,,
math-uz-6-9-90-3,math,uz,6,9,,90,3,,,
math-uz-6-10-91-3,math,uz,6,10,,91,3,,,
math-uz-6-10-92-3,math,uz,6,10,,92,3,,,
math-uz-6-10-93-3,math,uz,6,10,,93,3,,,
math-uz-6-10-94-3,math,uz,6,10,,94,3,,,
math-uz-6-10-95-3,math,uz,6,10,,95,3,,,
math-uz-6-10-96-3,math,uz,6,10,,96,3,,,
math-uz-6-10-97-3,math,uz,6,10,,97,3,,,
math-uz-6-10-98-3,math,uz,6,10,,98,3,,,
math-uz-6-10-99-3,math,uz,6,10,,99,3,,,
math-uz-6-10-100-3,math,uz,6,10,,100,3,,,
